Customername,ContactName,City
Wolski  Zajazd,Zbyszek Piestrzeniewicz,Warszawa
Wilman Kala,Matti Karttunen,Helsinki
White Clover Markets,Karl Jablonski,Seattle
Wellington Importadora,Paula Parente,Resende
Wartian Herkku,Pirkko Koskitalo,Oulu
Vins et alcools Chevalier,Paul Henriot,Reims
Victuailles en stock,Mary Saveley,Lyon
Vaffeljernet,Palle Ibsen,Århus
Trail's Head Gourmet Provisioners,Helvetius Nagy,Kirkland
Tradição Hipermercados,Anabela Domingues,Sao Paulo
Tortuga Restaurante,Miguel Angel Paolino,México D.F.
Toms Spezialitäten,Karin Josephs,Münster
The Cracker Box,Liu Wong,Butte
The Big Cheese,Liz Nixon,Portland
Suprêmes délices,Pascale Cartrain,Charleroi
Split Rail Beer & Ale,Art Braunschweiger,Lander
Spécialités du monde,Dominique Perrier,Paris
Simons bistro,Jytte Petersen,Kobenhavn
Seven Seas Imports,Hari Kumar,London
Save-a-lot Markets,Jose Pavarotti,Boise
Santé Gourmet,Jonas Bergulfsen,Stavern
Romero y tomillo,Alejandra Camino,Madrid
Richter Supermarkt,Michael Holz,Genève
Ricardo Adocicados,Janete Limeira,Rio de Janeiro
Reggiani Caseifici,Maurizio Moroni,Reggio Emilia
Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque
Rancho grande,Sergio Gutiérrez,Buenos Aires
QUICK-Stop,Horst Kloss,Cunewalde
Queen Cozinha,Lúcia Carvalho,Sao Paulo
Que Delícia,Bernardo Batista,Rio de Janeiro
Princesa Isabel Vinhos,Isabel de Castro,Lisboa
Piccolo und mehr,Georg Pipps,Salzburg
Pericles Comidas clásicas,Guillermo Fernández,México D.F.
Paris spécialités,Marie Bertrand,Paris
Ottilies Käseladen,Henriette Pfalzheim,Köln
Old World Delicatessen,Rene Phillips,Anchorage
Océano Atlántico Ltda.,Yvonne Moncada,Buenos Aires
North/South,Simon Crowther,London
Morgenstern Gesundkost,Alexander Feuer,Leipzig
Mère Paillarde,Jean Fresnière,Montréal
Maison Dewey,Catherine Dewey,Bruxelles
Magazzini Alimentari Riuniti,Giovanni Rovelli,Bergamo
Lonesome Pine Restaurant,Fran Wilson,Portland
LINO-Delicateses,Felipe Izquierdo,I. de Margarita
LILA-Supermercado,Carlos González,Barquisimeto
Let's Stop N Shop,Jaime Yorres,San Francisco
Lehmanns Marktstand,Renate Messner,Frankfurt a.M.
Lazy K Kountry Store,John Steel,Walla Walla
Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Vancouver
La maison d'Asie,Annette Roulet,Toulouse
La corne d'abondance,Daniel Tonini,Versailles
Königlich Essen,Philip Cramer,Brandenburg
Island Trading,Helen Bennett,Cowes
Hungry Owl All-Night Grocers,Patricia McKenna,Cork
Hungry Coyote Import Store,Yoshi Latimer,Elgin
HILARION-Abastos,Carlos Hernández,San Cristóbal
Hanari Carnes,Mario Pontes,Rio de Janeiro
GROSELLA-Restaurante,Manuel Pereira,Caracas
Great Lakes Food Market,Howard Snyder,Eugene
Gourmet Lanchonetes,André Fonseca,Campinas
Godos Cocina Típica,José Pedro Freyre,Sevilla
Galería del gastrónomo,Eduardo Saavedra,Barcelona
Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Lisboa
Frankenversand,Peter Franken,München
Franchi S.p.A.,Paolo Accorti,Torino
France restauration,Carine Schmitt,Nantes
Folk och fä HB,Maria Larsson,Bräcke
Folies gourmandes,Martine Rancé,Lille
FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Madrid
Familia Arquibaldo,Aria Cruz,Sao Paulo
Ernst Handel,Roland Mendel,Graz
Eastern Connection,Ann Devon,London
Du monde entier,Janine Labrune,Nantes
Drachenblut Delikatessen,Sven Ottlieb,Aachen
Die Wandernde Kuh,Rita Müller,Stuttgart
Consolidated Holdings,Elizabeth Brown,London
Comércio Mineiro,Pedro Afonso,Sao Paulo
Chop-suey Chinese,Yang Wang,Bern
Centro comercial Moctezuma,Francisco Chang,México D.F.
Cactus Comidas para llevar,Patricio Simpson,Buenos Aires
B's Beverages,Victoria Ashworth,London
Bottom-Dollar Markets,Elizabeth Lincoln,Tsawassen
Bon app',Laurence Lebihan,Marseille
Bólido Comidas preparadas,Martín Sommer,Madrid
Blondesddsl père et fils,Frédérique Citeaux,Strasbourg
Blauer See Delikatessen,Hanna Moos,Mannheim
Berglunds snabbköp,Christina Berglund,Luleå
Around the Horn,Thomas Hardy,London
Antonio Moreno Taquería,Antonio Moreno,México D.F.
Ana Trujillo Emparedados y helados,Ana Trujillo,México D.F.
Alfreds Futterkiste,Maria Anders,Berlin
NULL,NULL,NULL
