TOTAL,AVERAGE,MIN,MAX,SHIPCOUNTRY
11283.28,92.4859,0.15,1007.64,Germany
4880.19,58.7974,0.14,890.78,Brazil
13771.29,112.8794,0.2,830.75,USA
7391.5,184.7875,5.29,789.95,Austria
2755.24,145.0126,16.74,603.54,Ireland
4237.84,55.0368,0.02,487.38,France
1280.14,67.3757,0.17,424.3,Belgium
2198.09,73.2696,0.94,379.13,Canada
3237.6,87.5027,1.23,328.74,Sweden
1396.19,77.5661,2.92,299.09,Denmark
2954.27,52.7548,0.9,288.43,UK
1368.53,76.0294,1.17,232.42,Switzerland
1122.78,40.0992,0.4,218.15,Mexico
598.58,37.4112,0.33,217.86,Argentina
2735.18,59.4604,0.12,210.19,Venezuela
643.53,49.5023,1.27,202.24,Portugal
910.89,41.404,0.59,180.45,Finland
861.89,37.4734,1.25,175.32,Spain
864.44,30.8728,0.48,155.97,Italy
275.5,45.9166,4.62,93.63,Norway
175.74,25.1057,3.94,80.65,Poland
